id,user_id,code_id,item_id,game_id,difficulty,win,created
51,1,5,350,4,2,1,1742155453960
52,1,5,356,4,2,1,1742155453960
53,1,5,221,4,2,0,1742155453960
54,1,5,211,4,2,0,1742155453960
55,1,5,275,4,2,0,1742155453960
56,1,5,214,4,2,1,1742155453960
57,2,5,35,2,2,0,1742155453960
58,2,5,413,2,2,0,1742155453960
59,2,5,354,2,2,1,1742155453960
60,2,5,147,2,2,1,1742155453960
61,2,5,94,2,2,1,1742155453960
62,1,5,60,3,2,1,1742155453960
63,1,5,153,1,2,1,1742155453960
64,1,5,335,1,2,1,1742155453960
65,1,5,61,1,2,1,1742155453960
66,1,5,363,1,2,1,1742155453960
67,1,5,243,1,2,1,1742155453960
68,2,5,322,4,1,1,1742155453960
69,1,5,274,4,3,1,1742155453960
70,2,5,159,4,1,1,1742155453960
71,2,5,415,4,1,1,1742155453960
72,1,5,174,4,3,1,1742155453960
73,1,5,134,4,3,1,1742155453960
74,1,5,126,4,3,0,1742155453960
75,1,5,26,4,3,1,1742155453960
76,1,5,106,4,3,1,1742155453960
77,1,5,4,4,3,0,1742155453960
78,1,5,289,4,3,0,1742155453960
79,2,5,201,4,1,0,1742155453960
80,1,5,336,4,3,1,1742155453960
81,1,5,101,4,3,0,1742155453960
82,1,5,344,4,3,1,1742155453960
83,1,5,187,4,3,1,1742155453960
84,-1,5,192,1,1,0,1742155453960
85,-1,5,165,1,1,0,1742155453960
86,-1,5,187,1,1,0,1742155453960
87,-1,5,172,1,1,0,1742155453960
88,-1,5,123,2,1,0,1742155453960
89,-1,5,222,4,1,1,1742155453960
90,1,5,42,4,1,1,1742155453960
91,1,5,3,4,1,1,1742155453960
92,1,5,166,1,2,0,1742155453960
93,1,5,301,1,2,0,1742155453960
94,1,5,30,1,2,0,1742155453960
95,1,5,316,1,2,0,1742155453960
96,1,5,332,1,2,0,1742155453960
97,-1,5,350,3,1,0,1742155453960
98,1,5,189,1,2,1,1742155453960
99,1,5,242,1,2,1,1742155453960
100,1,5,260,1,2,1,1742155453960
101,1,5,184,1,2,1,1742155453960
102,1,5,95,1,2,1,1742155453960
