id,user_id,code_id,tag_id,item_id,game_id,difficulty,win,created
180,2,5,1317,335,4,3,0,1742336723503
177,2,5,1097,118,4,3,0,1742336716088
178,2,5,1097,11,4,3,0,1742336716088
175,2,5,1301,93,4,3,0,1742336716050
176,2,5,1301,329,4,3,0,1742336716050
173,2,5,1035,194,4,3,0,1742336627701
174,2,5,1035,46,4,3,0,1742336627701
171,2,5,1234,401,4,3,0,1742336614266
172,2,5,1236,401,4,3,0,1742336614266
169,2,5,1206,367,4,2,0,1742336556451
170,2,5,1172,367,4,2,0,1742336556451
168,2,5,1147,13,4,2,1,1742336548758
167,2,5,1213,106,4,2,1,1742336534295
166,2,5,1133,59,4,2,1,1742336493078
165,2,5,1162,272,4,2,1,1742336484512
164,2,5,1192,76,4,2,1,1742336477555
163,2,5,1159,294,4,2,1,1742336472714
162,1,5,1220,72,4,2,1,1742336217503
161,1,5,1161,159,4,2,1,1742336213508
159,1,5,1197,265,4,2,0,1742336210021
160,1,5,1259,265,4,2,0,1742336210021
158,1,5,1209,57,4,2,1,1742336205478
157,1,5,1136,129,4,3,1,1742336149575
156,1,5,1146,105,4,3,1,1742336143922
154,1,5,1207,320,4,3,0,1742336138649
155,1,5,1075,320,4,3,0,1742336138649
153,1,5,1280,214,4,1,1,1742336106993
151,1,5,1131,273,4,1,0,1742336045682
152,1,5,1131,62,4,1,0,1742336045682
149,1,5,1253,327,4,1,0,1742336032328
150,1,5,1253,61,4,1,0,1742336032328
147,1,5,1089,226,4,2,0,1742335998690
148,1,5,1122,226,4,2,0,1742335998690
145,1,5,1061,277,4,2,0,1742335981368
146,1,5,1061,402,4,2,0,1742335981368
144,1,5,1193,328,4,2,1,1742335950022
142,1,5,1261,148,4,2,0,1742335944817
143,1,5,1261,323,4,2,0,1742335944817
141,1,5,1090,224,4,2,1,1742335938423
139,1,5,1279,208,4,2,0,1742335930145
140,1,5,1196,208,4,2,0,1742335930145
138,1,5,1125,116,4,2,1,1742335905619
137,1,5,1189,236,4,2,1,1742335898950
136,1,5,1092,264,4,2,1,1742335892931
135,1,5,1174,145,4,2,1,1742335888582
133,1,5,1051,284,4,2,0,1742335875612
134,1,5,1051,283,4,2,0,1742335875612
132,1,5,1196,142,4,2,1,1742335865088
131,1,5,1219,101,4,2,1,1742335858358
130,1,5,1167,119,4,2,1,1742335670672
128,1,5,1213,394,4,2,0,1742335634653
129,1,5,1213,121,4,2,0,1742335634653
127,1,5,1093,277,4,2,1,1742335626757
125,1,5,1243,241,4,1,0,1742212471683
126,1,5,1243,49,4,1,0,1742212471683
124,1,5,1193,290,4,1,1,1742212467595
123,1,5,1155,301,4,2,1,1742159498340
122,1,5,1136,328,4,2,1,1742159488756
121,1,5,1226,354,4,2,1,1742159484372
120,1,5,1036,267,4,2,1,1742159476219
119,1,5,1089,400,4,2,1,1742159457011
118,1,5,1151,181,4,2,1,1742159433635
117,1,5,1133,322,4,2,1,1742159421659
115,1,5,1236,130,4,2,0,1742159401633
116,1,5,1236,231,4,2,0,1742159401633
114,1,5,1196,18,4,2,1,1742159397602
113,1,5,1157,63,4,2,1,1742159393547
1,1,5,1090,197,4,3,1,1742155453960
2,1,5,1096,53,4,3,1,1742155453960
3,1,5,1092,179,4,3,1,1742155453960
4,1,5,1090,102,4,3,1,1742155453960
5,1,5,1163,303,4,3,1,1742155453960
6,1,5,1154,216,4,2,1,1742155453960
7,1,5,1131,50,4,2,1,1742155453960
8,1,5,1286,350,4,2,1,1742155453960
9,1,5,1152,356,4,2,1,1742155453960
10,1,5,1091,221,4,2,0,1742155453960
11,1,5,1091,211,4,2,0,1742155453960
12,1,5,1105,275,4,2,0,1742155453960
13,1,5,1247,275,4,2,0,1742155453960
14,1,5,1275,214,4,2,1,1742155453960
15,1,5,1052,197,4,3,1,1742155453960
16,2,5,1065,322,4,1,1,1742155453960
17,1,5,1095,274,4,3,1,1742155453960
18,2,5,1092,159,4,1,1,1742155453960
19,2,5,1255,415,4,1,1,1742155453960
20,1,5,1090,174,4,3,1,1742155453960
21,1,5,1295,134,4,3,1,1742155453960
22,1,5,1198,126,4,3,0,1742155453960
23,1,5,1091,126,4,3,0,1742155453960
24,2,5,1168,415,4,1,1,1742155453960
25,1,5,1100,26,4,3,1,1742155453960
26,1,5,1326,106,4,3,1,1742155453960
27,1,5,1319,4,4,3,0,1742155453960
28,1,5,1089,4,4,3,0,1742155453960
29,1,5,1157,289,4,3,0,1742155453960
30,1,5,1079,289,4,3,0,1742155453960
31,2,5,1129,201,4,1,0,1742155453960
32,2,5,1090,201,4,1,0,1742155453960
33,1,5,1326,336,4,3,1,1742155453960
34,1,5,1268,101,4,3,0,1742155453960
35,1,5,1061,101,4,3,0,1742155453960
36,1,5,1139,344,4,3,1,1742155453960
37,1,5,1154,187,4,3,1,1742155453960
38,-1,5,1265,222,4,1,1,1742155453960
39,1,5,1066,42,4,1,1,1742155453960
40,1,5,1173,3,4,1,1,1742155453960
41,-1,5,1325,361,4,1,0,1742155453960
42,-1,5,1197,361,4,1,0,1742155453960
43,-1,5,1163,378,4,1,0,1742155453960
44,-1,5,1120,378,4,1,0,1742155453960
45,2,5,1304,234,4,1,0,1742155453960
46,2,5,1167,234,4,1,0,1742155453960
47,4,5,1080,8,4,2,1,1742155453960
48,4,5,1080,5,4,2,0,1742155453960
49,4,5,1080,271,4,2,0,1742155453960
50,4,5,1079,364,4,2,1,1742155453960
51,4,5,1055,120,4,2,1,1742155453960
52,4,5,1102,4,4,2,0,1742155453960
53,4,5,1091,4,4,2,0,1742155453960
54,4,5,1279,371,4,2,0,1742155453960
55,4,5,1279,212,4,2,0,1742155453960
56,4,5,1155,236,4,2,1,1742155453960
57,4,5,1297,9,4,2,0,1742155453960
58,4,5,1221,9,4,2,0,1742155453960
59,4,5,1260,219,4,2,0,1742155453960
60,4,5,1260,33,4,2,0,1742155453960
61,4,5,1254,159,4,2,0,1742155453960
62,4,5,1175,159,4,2,0,1742155453960
63,4,5,1202,172,4,3,1,1742155453960
64,4,5,1289,380,4,3,1,1742155453960
65,4,5,1199,371,4,3,0,1742155453960
66,4,5,1127,371,4,3,0,1742155453960
67,4,5,1283,108,4,3,0,1742155453960
68,4,5,1173,108,4,3,0,1742155453960
69,4,5,1253,309,4,3,0,1742155453960
70,4,5,1253,147,4,3,0,1742155453960
71,2,5,1325,416,4,1,1,1742155453960
72,2,5,1090,211,4,1,1,1742155453960
73,2,5,1207,289,4,1,1,1742155453960
74,2,5,1287,360,4,1,0,1742155453960
75,2,5,1287,150,4,1,0,1742155453960
76,2,5,1324,353,4,1,0,1742155453960
77,2,5,1207,353,4,1,0,1742155453960
78,2,5,1103,166,4,1,0,1742155453960
79,2,5,1103,276,4,1,0,1742155453960
80,2,5,1054,322,4,1,0,1742155453960
81,2,5,1054,142,4,1,0,1742155453960
82,2,5,1129,140,4,1,0,1742155453960
83,2,5,1139,140,4,1,0,1742155453960
84,2,5,1097,308,4,1,1,1742155453960
85,2,5,1215,415,4,1,1,1742155453960
86,2,5,1236,166,4,1,0,1742155453960
87,2,5,1236,381,4,1,0,1742155453960
88,2,5,1160,214,4,1,1,1742155453960
89,2,5,1326,304,4,1,1,1742155453960
90,2,5,1291,155,4,1,1,1742155453960
91,4,5,1323,31,4,3,1,1742155453960
92,4,5,1190,139,4,3,0,1742155453960
93,4,5,1160,139,4,3,0,1742155453960
94,2,5,1098,397,4,1,1,1742155453960
95,2,5,1095,55,4,1,1,1742155453960
96,4,5,1199,196,4,3,1,1742155453960
97,4,5,1057,385,4,3,1,1742155453960
98,4,5,1163,213,4,3,1,1742155453960
99,4,5,1229,277,4,3,0,1742155453960
100,4,5,1035,277,4,3,0,1742155453960
101,4,5,1050,53,4,3,1,1742155453960
102,4,5,1102,397,4,3,0,1742155453960
103,4,5,1174,397,4,3,0,1742155453960
104,2,5,1077,213,4,1,0,1742155453960
105,2,5,1189,213,4,1,0,1742155453960
106,2,5,1234,75,4,1,0,1742155453960
107,2,5,1234,4,4,1,0,1742155453960
108,-1,5,1140,367,4,1,0,1742155453960
109,-1,5,1140,185,4,1,0,1742155453960
