id,old_code,new_code,old_tag,new_tag,description,created
740,4,5,895,1199,INITIAL COPY,1729347175250
742,4,5,897,1201,INITIAL COPY,1709910683079
743,4,5,898,1202,INITIAL COPY,1710969196761
744,4,5,899,1203,INITIAL COPY,1713185301563
745,4,5,900,1204,INITIAL COPY,1723055241633
746,4,5,901,1205,INITIAL COPY,1723055241633
747,4,5,902,1206,INITIAL COPY,1729713903914
748,4,5,903,1207,INITIAL COPY,1723055241633
749,4,5,904,1208,INITIAL COPY,1729713541766
750,4,5,905,1209,INITIAL COPY,1723055241633
751,4,5,906,1210,INITIAL COPY,1723055241633
752,4,5,907,1211,INITIAL COPY,1712517680714
753,4,5,908,1212,INITIAL COPY,1713186177389
754,4,5,909,1213,INITIAL COPY,1710962926778
755,4,5,910,1214,INITIAL COPY,1710236656030
756,4,5,911,1215,INITIAL COPY,1712517337379
757,4,5,912,1216,INITIAL COPY,1712517337379
