id,name,item_id,code_id,created,created_by
78,Customizable Hotbar,58,3,1731339031258,1
79,Customizable Hotbar,354,3,1731339071020,1
80,Notepad,11,3,1731444712748,1
81,Filling the Gaps,11,3,1731444819929,1
82,Favorites,31,3,1731444925313,1
83,Custom Location Tags,57,3,1731594922559,1
84,group 1,175,3,1731694596865,1
85,Customizable Hotbar,261,3,1731760610384,2
86,Mini Blueprint,293,3,1731763672549,1
87,Room Templates,293,3,1731763861687,1
88,Inventory Customization,261,3,1731764627023,2
89,Automation,416,3,1731770027204,2
90,Customizable Hotbar,394,3,1731837249095,1
91,Customizable Hotbar,386,3,1731837496006,1
92,Custom Location Markers,353,3,1731839346277,1
93,Customizable Hotbar,353,3,1731839379877,1
94,Customizable Quick Acess,350,3,1731841164285,1
95,Customizable Hotbar,161,3,1731841479370,1
96,Customizable Hotbar,68,3,1731841665025,1
97,Customizable Hotbar,69,3,1731841804172,1
98,Customizable Quick Access,147,3,1731842008817,1
99,Customizable Hotbar,139,3,1731842123463,1
100,Customizable Quick Acess,243,3,1731842280510,1
101,Customizable Hotbar,70,3,1731842619603,1
103,Customizable Quick Access,65,3,1731842909992,1
105,Customizable Quick Acess,108,3,1731843177718,1
106,Customizable Quick Access,155,3,1731843708625,1
107,Customizable Quick Access,403,3,1731844048751,1
